Topic,Word_Number,Word,Weight
30,2,source,63.567600736870496
30,3,hi,60.663620871097336
30,4,redshift,54.63737014177702
30,5,cluster,46.383145863789146
30,6,lensed,45.27663566862836
30,7,select,40.274372302964366
30,8,system,39.63306001675108
30,9,detect,39.23606036850999
31,0,agb,163.01831129967377
31,1,star,140.46240180416996
31,2,torus,97.08713274502523
31,3,stellar,56.325752158916046
31,4,nucleus,46.51707904702786
31,5,loss,45.3401477639068
31,6,giant,36.367367515925594
31,7,asymptotic,35.62809527676548
31,8,branch,34.660645808424135
31,9,surface,27.653238866177368
32,0,chemical,219.24631695901726
32,1,protostars,173.18364752106453
32,2,mass,156.7509262562357
32,3,observation,146.77523453991103
32,4,chemistry,126.10072476584577
32,5,source,121.89628232805876
32,6,molecule,117.12832607516224
32,7,envelope,110.37113744694325
32,8,disk,109.19140102406595
32,9,protostellar,107.96543698522933
33,0,disk,753.5707238203488
33,1,gas,424.08465591212615
33,2,debris,240.02820751441925
33,3,star,142.4634291379091
33,4,dust,130.49282474866288
33,5,system,108.57725619796909
33,6,around,103.96870582351983
33,7,planet,102.83398460356779
33,8,evolution,93.04975707568866
33,9,observation,67.52083691308032
34,0,water,131.41324262592897
34,1,star,106.25943171850115
34,2,study,49.37490283116263
34,3,form,42.117102923353414
34,4,hdo,39.324527819317105
34,5,cloud,37.28846045911578
34,6,gas,37.01261360892587
34,7,formation,36.28015403658736
34,8,observation,33.17481658808068
34,9,region,31.983485220135552
35,0,observation,21.445596373540127
35,1,mass,20.254120367895048
35,2,line,18.56248659892477
35,3,project,18.025275369358656
35,4,torus,17.435200589354782
35,5,stellar,16.945412186777467
35,6,study,16.24626747333474
35,7,agn,15.183119024960542
35,8,image,14.51248234463684
35,9,structure,14.427788300801057
36,0,ci,386.4508607112039
36,1,cloud,112.76696510771525
36,2,molecular,83.96053593822471
36,3,observation,64.94915868621179
36,4,atomic,50.64008664408399
36,5,cgm,46.35881874718638
36,6,star,45.78094461400593
36,7,pdr,44.77711590302034
36,8,mass,40.17706339394565
36,9,study,39.913561955777986
37,0,gas,99.58832274000241
37,1,galaxy,95.32127500822294
37,2,dust,55.08134214952883
37,3,molecular,51.637285776804994
37,4,mass,31.86347001655184
37,5,tracer,20.215027935725487
37,6,nearby,19.449273744432848
37,7,property,18.076108634095625
37,8,content,18.025462858942745
37,9,measurement,17.149665961573778
38,0,line,158.61336705629213
38,1,galaxy,89.98490846979854
38,2,luminosity,48.12395125239525
38,3,infrared,47.6015142680515
38,4,observation,39.39667063222953
38,5,region,35.36012783488584
38,6,vibrationally,31.48006988403168
38,7,physical,30.627284391920526
38,8,redshift,28.088475534766644
38,9,obscure,27.54870113866051
39,0,line,34.71763877366898
39,1,dust,32.27724240243339
39,2,observe,21.393070348728166
39,3,massive,20.044163284039147
39,4,star,16.22664422902699
39,5,euv,14.91287373734731
39,6,observation,14.2230236735738
39,7,outflow,13.910465733497967
39,8,scale,13.672857500453393
39,9,image,13.521540918481543
40,0,disk,830.6402704187816
40,1,system,331.5560713631489
40,2,planet,322.69301967986985
40,3,observation,263.9070766124138
40,4,dust,244.56993255441208
40,5,structure,175.95468749406032
40,6,ring,153.67763182347693
40,7,star,135.03619332131984
40,8,debris,130.15272935660215
40,9,protoplanetary,112.51388084436658
41,0,maser,312.6257499000478
41,1,dust,211.74024925097999
41,2,observation,201.16181538785412
41,3,line,177.34254572603126
41,4,mass,166.81623545261158
41,5,disk,116.14075599229899
41,6,star,112.52985867101265
41,7,wind,78.40259721047498
41,8,region,76.72005361115407
41,9,water,76.70858444355267
42,0,line,235.15907454487788
42,1,mass,105.75978391519088
42,2,observation,105.35725912181775
42,3,velocity,92.0673683284534
42,4,region,82.54366335655347
42,5,use,70.44208416860089
42,6,observe,67.79483945518143
42,7,molecular,62.75085343423762
42,8,compact,61.80884412959737
42,9,gas,61.07618017989464
43,0,galaxy,542.7821440264765
43,1,cii,514.8384756780871
