topic,cluster,med_freq,min_freq,max_freq,count_meas,count_proj,min_band,max_band,mode_band,width
0,73,253.615,252.97,253.905,16,8,6,6,6.0,0.9350000000000023
0,74,115.265,115.25,115.275,7,5,3,3,3.0,0.025000000000005684
0,75,98.63,98.625,98.64,5,3,3,3,3.0,0.015000000000000568
0,76,98.575,98.57,98.605,8,4,3,3,3.0,0.0350000000000108
0,77,96.74,96.735,96.755,6,6,3,3,3.0,0.01999999999999602
0,78,96.66,96.65,96.705,9,4,3,3,3.0,0.05499999999999261
0,79,359.475,359.355,359.505,6,2,7,7,7.0,0.14999999999997726
0,80,261.14,260.905,261.17,5,4,6,6,6.0,0.2650000000000432
0,81,215.305,214.985,215.54,7,3,6,6,6.0,0.5549999999999784
0,82,115.215,115.215,115.23,13,8,3,3,3.0,0.015000000000000568
0,83,115.1675,115.15,115.205,20,11,3,3,3.0,0.05499999999999261
0,84,90.66,90.43,90.74,19,14,3,3,3.0,0.30999999999998806
0,85,89.19,89.185,89.23,15,11,3,3,3.0,0.045000000000001705
0,86,89.12,89.075,89.15,14,11,3,3,3.0,0.07500000000000284
0,87,356.44,356.245,356.745,13,8,7,7,7.0,0.5
0,88,93.1825,93.18,93.185,6,5,3,3,3.0,0.0049999999999954525
0,89,91.2,91.125,91.285,15,9,3,3,3.0,0.1599999999999966
0,90,90.98,90.93,90.985,6,6,3,3,3.0,0.05499999999999261
0,91,87.2375,87.1,87.4,18,13,3,3,3.0,0.30000000000001137
0,92,349.785,349.765,350.055,5,3,7,7,7.0,0.29000000000002046
0,93,351.59,350.505,352.155,16,10,7,7,7.0,1.6499999999999773
0,94,358.585,358.55,358.6,5,2,7,7,7.0,0.05000000000001137
0,95,358.765,358.73,358.96,12,4,7,7,7.0,0.22999999999996135
0,96,97.98,97.96,98.0,19,11,3,3,3.0,0.04000000000000625
0,97,97.94,97.92,97.96,9,7,3,3,3.0,0.03999999999999204
0,98,356.99,356.95,356.99,5,3,7,7,7.0,0.040000000000020464
0,99,357.1575,357.12,357.325,14,5,7,7,7.0,0.20499999999998408
0,100,260.255,260.05,260.315,7,4,6,6,6.0,0.26499999999998636
0,101,259.62,259.485,259.8,7,5,6,6,6.0,0.3149999999999977
0,102,100.75,100.67,100.775,12,5,3,3,3.0,0.10500000000000398
0,103,100.435,100.335,100.495,9,6,3,3,3.0,0.1600000000000108
0,104,100.275,100.24,100.335,8,6,3,3,3.0,0.09499999999999886
0,105,87.855,87.63,88.08,20,15,3,3,3.0,0.45000000000000284
0,106,85.1,85.03,85.105,5,5,3,3,3.0,0.07500000000000284
0,107,265.4925,264.9,266.18,22,11,6,6,6.0,1.2800000000000296
0,108,251.995,251.865,252.32,9,4,6,6,6.0,0.4549999999999841
0,109,251.5,251.475,251.58,6,3,6,6,6.0,0.10500000000001819
0,110,100.9225,100.88,100.95,10,6,3,3,3.0,0.07000000000000739
0,111,100.835,100.815,100.85,9,4,3,3,3.0,0.03499999999999659
0,112,97.895,97.89,97.895,6,6,3,3,3.0,0.0049999999999954525
0,113,93.175,93.175,93.175,8,6,3,3,3.0,0.005
0,114,93.17,93.17,93.17,10,10,3,3,3.0,0.005
0,115,85.445,85.355,85.525,5,4,3,3,3.0,0.1700000000000017
0,116,85.255,85.21,85.34,7,5,3,3,3.0,0.13000000000000966
0,117,354.9,354.885,355.115,7,4,7,7,7.0,0.2300000000000182
0,118,97.9,97.9,97.9,5,5,3,3,3.0,0.005
0,119,85.9625,85.82,86.065,14,13,3,3,3.0,0.24500000000000455
0,120,85.7175,85.66,85.735,6,3,3,3,3.0,0.07500000000000284
0,121,353.8825,353.725,354.1,6,4,7,7,7.0,0.375
0,122,354.5525,354.355,354.6,8,6,7,7,7.0,0.24500000000000455
0,123,228.2125,227.915,228.69,12,6,6,6,6.0,0.7750000000000057
0,124,226.75,226.085,227.595,22,12,6,6,6.0,1.509999999999991
0,125,216.535,216.45,216.595,5,4,6,6,6.0,0.14500000000001023
0,126,97.91,97.91,97.91,5,4,3,3,3.0,0.005
0,127,97.905,97.905,97.905,8,7,3,3,3.0,0.005
0,128,267.555,267.405,267.625,9,5,6,6,6.0,0.22000000000002728
0,129,267.0,266.815,267.35,12,8,6,6,6.0,0.535000000000025
0,130,244.9525,244.88,244.985,6,5,6,6,6.0,0.10500000000001819
0,131,233.0275,232.885,233.175,6,6,6,6,6.0,0.29000000000002046
0,132,110.365,110.36,110.39,5,4,3,3,3.0,0.030000000000001137
0,133,110.3,110.29,110.325,6,5,3,3,3.0,0.03499999999999659
0,134,88.39,88.34,88.395,10,6,3,3,3.0,0.05499999999999261
0,135,88.2425,88.195,88.3,8,6,3,3,3.0,0.10500000000000398
0,136,218.89249999999998,218.835,218.97,8,5,6,6,6.0,0.1349999999999909
0,137,216.135,216.13,216.14,6,3,6,6,6.0,0.009999999999990905
0,138,216.11,216.1,216.115,10,8,6,6,6.0,0.01500000000001478
0,139,109.78,109.735,109.82,15,12,3,3,3.0,0.08499999999999375
0,140,234.3,234.005,234.31,6,5,6,6,6.0,0.3050000000000068
0,141,232.48000000000002,232.465,232.55,6,4,6,6,6.0,0.08500000000000796
0,142,232.365,232.29,232.37,5,3,6,6,6.0,0.0800000000000125
0,143,217.83249999999998,217.7,217.91,12,8,6,6,6.0,0.21000000000000796
0,144,110.2075,110.16,110.24,12,9,3,3,3.0,0.0799999999999983
0,145,109.7,109.7,109.7,5,5,3,3,3.0,0.005
0,146,109.685,109.675,109.695,13,8,3,3,3.0,0.01999999999999602
0,147,109.575,109.565,109.585,6,4,3,3,3.0,0.01999999999999602
0,148,109.495,109.495,109.525,5,3,3,3,3.0,0.030000000000001137
0,149,100.01,100.005,100.02,6,5,3,3,3.0,0.015000000000000568
0,150,99.985,99.98,99.99,5,5,3,3,3.0,0.009999999999990905
0,151,88.465,88.445,88.465,6,4,3,3,3.0,0.020000000000010232
0,152,86.905,86.9,86.93,5,3,3,3,3.0,0.030000000000001137
0,153,342.61,342.425,342.7,10,8,7,7,7.0,0.27499999999997726
0,154,343.0925,342.87,343.24,12,8,7,7,7.0,0.37000000000000455
0,155,244.74,244.725,244.745,5,3,6,6,6.0,0.020000000000010232
0,156,244.605,244.545,244.655,8,5,6,6,6.0,0.11000000000001364
0,157,233.76,233.57,233.895,7,5,6,6,6.0,0.32500000000001705
0,158,233.425,233.405,233.495,5,2,6,6,6.0,0.09000000000000341
0,159,218.725,218.71,218.745,7,3,6,6,6.0,0.03499999999999659
0,160,86.34,86.325,86.385,12,10,3,3,3.0,0.060000000000002274
0,161,86.2575,86.22,86.275,10,8,3,3,3.0,0.05500000000000682
0,162,220.04250000000002,219.975,220.11,14,9,6,6,6.0,0.13500000000001933
0,163,88.63,88.595,88.65,15,13,3,3,3.0,0.05500000000000682
0,164,88.56,88.545,88.585,11,9,3,3,3.0,0.03999999999999204
0,165,86.68,86.58,86.705,15,13,3,3,3.0,0.125
0,166,86.54,86.51,86.58,14,10,3,3,3.0,0.06999999999999318
0,167,86.85,86.83,86.865,11,10,3,3,3.0,0.03499999999999659
0,168,86.755,86.735,86.8,18,13,3,3,3.0,0.06499999999999773
0,169,345.475,345.15,345.83,32,18,7,7,7.0,0.6800000000000068
0,170,230.9475,230.925,231.04,8,7,6,6,6.0,0.11499999999998067
0,171,220.43,220.43,220.44,6,5,6,6,6.0,0.009999999999990905
0,172,219.25,219.17,219.265,7,7,6,6,6.0,0.09499999999999886
0,173,218.29,218.245,218.33,11,10,6,6,6.0,0.08500000000000796
0,174,231.405,231.405,231.44,9,4,6,6,6.0,0.03499999999999659
0,175,219.87,219.845,219.9,11,6,6,6,6.0,0.05500000000000682
0,176,217.235,217.205,217.24,7,6,6,6,6.0,0.03499999999999659
0,177,229.5675,229.495,229.58,6,4,6,6,6.0,0.08500000000000796
0,178,219.70499999999998,219.67,219.78,14,9,6,6,6.0,0.11000000000001364
0,179,218.05,218.0,218.12,13,10,6,6,6.0,0.12000000000000455
0,180,344.8225,344.715,344.87,8,5,7,7,7.0,0.15500000000002956
0,181,220.585,220.555,220.6,7,5,6,6,6.0,0.044999999999987494
0,182,220.53,220.53,220.535,6,5,6,6,6.0,0.0049999999999954525
0,183,218.5775,218.535,218.605,8,7,6,6,6.0,0.06999999999999318
0,184,218.4475,218.42,218.51,14,10,6,6,6.0,0.09000000000000341
0,185,217.02,216.97,217.025,6,5,6,6,6.0,0.05500000000000682
0,186,216.93,216.91,216.945,18,12,6,6,6.0,0.03499999999999659
0,187,110.115,110.11,110.115,7,6,3,3,3.0,0.0049999999999954525
0,188,110.105,110.105,110.11,5,4,3,3,3.0,0.0049999999999954525
0,189,344.365,344.31,344.39,9,5,7,7,7.0,0.07999999999998408
0,190,344.515,344.49,344.57,11,7,7,7,7.0,0.07999999999998408
0,191,231.815,231.795,231.865,17,9,6,6,6.0,0.0700000000000216
0,192,231.15,231.135,231.205,9,7,6,6,6.0,0.0700000000000216
0,193,220.395,220.385,220.4,13,10,6,6,6.0,0.01500000000001478
0,194,219.59,219.59,219.605,7,6,6,6,6.0,0.014999999999986358
0,195,218.19,218.185,218.2,5,2,6,6,6.0,0.014999999999986358
0,196,218.16,218.15,218.165,6,3,6,6,6.0,0.014999999999986358
0,197,220.235,220.235,220.24,12,8,6,6,6.0,0.0049999999999954525
0,198,217.1275,217.125,217.14,6,4,6,6,6.0,0.014999999999986358
0,199,217.085,217.07,217.105,14,10,6,6,6.0,0.03499999999999659
0,200,229.855,229.805,229.89,5,2,6,6,6.0,0.08499999999997954
0,201,220.365,220.36,220.375,10,4,6,6,6.0,0.014999999999986358
0,202,220.34,220.33,220.355,7,5,6,6,6.0,0.024999999999977263
0,203,220.31,220.305,220.32,13,10,6,6,6.0,0.014999999999986358
0,204,220.29,220.285,220.3,7,5,6,6,6.0,0.01500000000001478
0,205,219.4525,219.44,219.46,10,7,6,6,6.0,0.020000000000010232
0,206,232.005,231.97,232.085,9,8,6,6,6.0,0.1150000000000091
0,207,231.935,231.93,231.945,5,3,6,6,6.0,0.014999999999986358
0,208,219.53,219.52,219.545,10,5,6,6,6.0,0.024999999999977263
0,209,219.495,219.485,219.51,12,8,6,6,6.0,0.024999999999977263
0,210,231.7275,231.72,231.74,10,4,6,6,6.0,0.020000000000010232
0,211,231.695,231.675,231.7,9,5,6,6,6.0,0.024999999999977263
0,212,231.2525,231.245,231.29,12,9,6,6,6.0,0.044999999999987494
0,213,219.475,219.475,219.48,8,7,6,6,6.0,0.0049999999999954525
0,214,219.47,219.47,219.47,6,5,6,6,6.0,0.005
0,215,230.805,230.78,230.81,5,3,6,6,6.0,0.030000000000001137
0,216,230.0575,230.04,230.07,6,4,6,6,6.0,0.030000000000001137
0,217,219.56,219.56,219.565,11,9,6,6,6.0,0.0049999999999954525
0,218,219.555,219.55,219.555,7,6,6,6,6.0,0.0049999999999954525
0,219,219.4,219.395,219.405,10,8,6,6,6.0,0.009999999999990905
0,220,230.21,230.155,230.24,11,6,6,6,6.0,0.08500000000000796
0,221,230.12,230.105,230.135,6,5,6,6,6.0,0.030000000000001137
0,222,220.22,220.22,220.22,7,7,6,6,6.0,0.005
0,223,231.3525,231.345,231.355,6,3,6,6,6.0,0.009999999999990905
0,224,231.32,231.31,231.33,12,9,6,6,6.0,0.020000000000010232
0,225,230.68,230.655,230.72,9,6,6,6,6.0,0.06499999999999773
0,226,220.23,220.23,220.23,5,5,6,6,6.0,0.005
0,227,220.225,220.225,220.225,8,6,6,6,6.0,0.005
0,228,230.58,230.58,230.59,6,4,6,6,6.0,0.009999999999990905
0,229,230.57,230.57,230.57,6,6,6,6,6.0,0.005
0,230,230.535,230.525,230.54,14,11,6,6,6.0,0.014999999999986358
0,231,230.49,230.47,230.505,15,9,6,6,6.0,0.03499999999999659
0,232,230.3475,230.34,230.355,10,10,6,6,6.0,0.014999999999986358
0,233,219.39,219.39,219.39,7,7,6,6,6.0,0.005
0,234,219.385,219.385,219.385,5,5,6,6,6.0,0.005
0,235,230.37,230.37,230.37,5,5,6,6,6.0,0.005
0,236,230.4575,230.455,230.465,6,4,6,6,6.0,0.009999999999990905
0,237,230.365,230.365,230.365,5,5,6,6,6.0,0.005
0,238,230.36,230.36,230.36,8,8,6,6,6.0,0.005
0,239,230.445,230.425,230.45,20,11,6,6,6.0,0.024999999999977263
0,240,230.415,230.415,230.42,5,4,6,6,6.0,0.0049999999999954525
1,-1,242.445,135.355,349.535,8,2,4,7,5.5,214.18000000000004
1,0,213.075,213.075,213.105,9,9,6,6,6.0,0.030000000000001137
1,1,215.075,215.075,215.105,9,9,6,6,6.0,0.030000000000001137
1,2,227.075,227.07,227.105,10,9,6,6,6.0,0.03499999999999659
1,3,229.075,229.07,229.105,10,9,6,6,6.0,0.03499999999999659
1,4,100.2575,98.315,103.255,16,4,3,3,3.0,4.939999999999998
1,5,87.85,86.255,89.175,15,3,3,3,3.0,2.9200000000000017
2,-1,213.9275,85.535,707.865,176,76,3,9,4.9772727272727275,622.33
2,0,478.22,476.325,483.44,11,5,8,8,8.0,7.115000000000009
2,1,490.275,484.38,491.96,13,6,8,8,8.0,7.579999999999984
2,2,156.5,155.43,160.975,8,3,4,4,4.0,5.5449999999999875
2,3,666.515,662.685,672.005,5,2,9,9,9.0,9.32000000000005
2,4,688.84,674.91,691.685,11,5,9,9,9.0,16.774999999999977
2,5,105.275,104.9,105.43,5,4,3,3,3.0,0.5300000000000011
2,6,128.48,126.07,132.045,6,3,4,4,4.0,5.974999999999994
2,7,144.10250000000002,133.61,150.685,14,5,4,4,4.0,17.07499999999999
2,8,93.1875,91.98,93.955,14,10,3,3,3.0,1.9749999999999943
2,9,292.8125,290.935,294.955,6,3,7,7,7.0,4.019999999999982
